publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2022-05-29,Brand A,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,MANS010810009,What hyperparameters should I tune?,Private Rental,Darlington,26-35,Other,Maisonette
2022-04-03,Brand C,Very good service,Anonymous,What hyperparameters should I tune?,Shared Ownership,Stockton,18-25,Other,Flat
2023-03-22,Brand A,"I got everything sorted straight away, I had an emergency and they came out within an hour.",PION020430001,How do I handle missing values?,Freehold,Stokesley,18-25,Mixed,House
2022-03-17,Brand D,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",COPE010190002,How can I improve model precision?,Freehold,Cotherstone,60+,Asian,House
2024-06-27,Brand C,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",Anonymous,How do I handle missing values?,Private Rental,REDCAR,46-60,Black,Maisonette
2023-08-27,Brand C,Very good housing and very friendly service,Anonymous,How do I handle missing values?,Freehold,Darlington,60+,Asian,House
2023-03-12,Brand D,I have had no issues.,MANS010810009,How do I handle missing values?,Leasehold,Carlinhow,60+,White,Maisonette
2022-03-29,Brand A,Keep you updated,COPE010190002,What hyperparameters should I tune?,Shared Ownership,Consett,36-45,Other,Studio
2023-09-14,Brand C,"Prompt repair, lovely repair man and a job well done",Anonymous,How can I improve model precision?,Shared Ownership,Sunderland,46-60,White,Flat
2023-09-20,Brand D,They help me out a lot.,BALD010050001,How can I improve model precision?,Shared Ownership,Stanley,60+,Other,Flat
2021-02-21,Brand A,I have had no issues.,PLAN010590001,How can I improve model precision?,Freehold,Gainford,36-45,Black,House
2021-01-15,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",MILT010770106,Why is inference so slow on new data?,Leasehold,Sunderland,18-25,Mixed,Maisonette
2024-07-30,Brand D,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,LARV020050005,Why is inference so slow on new data?,Freehold,REDCAR,46-60,White,Maisonette
2022-06-04,Brand C,"Efficiency, reliability, prompt responses.",MILT010770106,What hyperparameters should I tune?,Shared Ownership,Stanley,18-25,White,House
2024-04-11,Brand B,They help me out a lot.,LARV020050005,How do I handle missing values?,Shared Ownership,THIRSK,26-35,Mixed,Bungalow
2022-08-15,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",AIDA010040003,What hyperparameters should I tune?,Private Rental,Cockfield,36-45,Asian,Bungalow
2022-03-25,Brand A,They do a good job.,NENT010050006,What hyperparameters should I tune?,Shared Ownership,Cotherstone,18-25,Black,Bungalow
2023-10-05,Brand C,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,Anonymous,Why is inference so slow on new data?,Shared Ownership,Gainford,60+,Mixed,House
2024-10-17,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",BREN010210010,What hyperparameters should I tune?,Private Rental,Barnard Castle,36-45,Black,Studio
2022-12-16,Brand B,"Everything is going good, when I need something it is done quickly.",Anonymous,Why is inference so slow on new data?,Shared Ownership,Sunderland,18-25,Other,Flat
2022-11-14,Brand A,"I got everything sorted straight away, I had an emergency and they came out within an hour.",ST P030840009,How can I improve model precision?,Freehold,Hartlepool,36-45,Mixed,House
2022-07-09,Brand C,I am happy,NENT010050006,Why is inference so slow on new data?,Shared Ownership,REDCAR,18-25,Asian,Studio
2024-06-13,Brand C,"Prompt repair, lovely repair man and a job well done",ST P030840009,How do I handle missing values?,Freehold,Hartlepool,18-25,Asian,Bungalow
2024-07-09,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",BREN010210010,Why is inference so slow on new data?,Freehold,Darlington,36-45,Asian,Studio
2022-09-10,Brand D,If I need any repairs  done they come straight out or come out the next day,AIDA010040003,What hyperparameters should I tune?,Shared Ownership,Teesdale,26-35,Asian,House
2023-03-17,Brand C,I am happy,EMBL010020002,How do I handle missing values?,Freehold,Stockton,26-35,Mixed,Maisonette
2023-10-03,Brand D,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,MITC021150001,Why is inference so slow on new data?,Private Rental,Teesdale,60+,White,House
2024-12-14,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",Anonymous,Why is inference so slow on new data?,Private Rental,Stokesley,26-35,White,Studio
2024-08-04,Brand D,They do a good job.,Anonymous,What causes high variance in predictions?,Leasehold,Hartlepool,36-45,Mixed,House
2024-10-19,Brand C,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",MILT010770106,How can I improve model precision?,Freehold,Darlington,46-60,Black,Flat
2022-02-07,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",Anonymous,Why is inference so slow on new data?,Shared Ownership,Thornaby,18-25,Asian,Flat
2022-04-17,Brand B,They do a good job.,BREN010210010,What hyperparameters should I tune?,Freehold,Carlinhow,60+,White,Flat
2022-12-20,Brand A,It is a good service.,Anonymous,Why is inference so slow on new data?,Private Rental,Gainford,18-25,Other,Maisonette
2023-07-31,Brand B,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",PARK030100001,What causes high variance in predictions?,Leasehold,Thornaby,18-25,Asian,Bungalow
2024-04-15,Brand B,Very good service,MILT010770106,How do I handle missing values?,Private Rental,THIRSK,46-60,Asian,Bungalow
2021-08-18,Brand C,"Everything is going good, when I need something it is done quickly.",MILT010770106,How can I improve model precision?,Private Rental,Evenwood,18-25,Other,Flat
2021-12-22,Brand A,Very good service,COPE010190002,What causes high variance in predictions?,Freehold,REDCAR,46-60,White,Maisonette
2022-03-21,Brand A,I say that because they give a good service.,EMBL010020002,What hyperparameters should I tune?,Private Rental,Skinningrove,18-25,Asian,Bungalow
2022-11-16,Brand D,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,LARV020050005,What causes high variance in predictions?,Shared Ownership,Etherley,18-25,Asian,Flat
2021-06-17,Brand B,"If we have ever reported any defects, they done them immediately.",MITC021150001,How do I handle missing values?,Leasehold,Cockfield,60+,Other,Studio
2024-12-14,Brand D,"If we have ever reported any defects, they done them immediately.",PARK030100001,What hyperparameters should I tune?,Freehold,Sunderland,46-60,Asian,Flat
2023-07-21,Brand B,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",PARK030100001,How can I improve model precision?,Private Rental,Consett,18-25,White,Maisonette
